iter	MultiClass
0	1.070042794
1	1.04864941
2	1.029417181
3	1.013472284
4	1.001118758
5	0.990163113
6	0.9807393977
7	0.9729469949
8	0.9648131064
9	0.9576691198
10	0.9520352105
11	0.9464090899
12	0.9418160883
13	0.9371172368
14	0.9329300405
15	0.929418827
16	0.9260388459
17	0.9227090152
18	0.9198654207
19	0.9170557604
20	0.9144893522
21	0.9118109708
22	0.9093793104
23	0.9070445474
24	0.9050325223
25	0.9033623886
26	0.9012402471
27	0.8996442231
28	0.8980040322
29	0.8966954363
30	0.8954575544
31	0.8942507796
32	0.8933831936
33	0.8923390859
34	0.8916015729
35	0.8906290626
36	0.8892755168
37	0.8885130514
38	0.8875204368
39	0.8869456343
40	0.8861972386
41	0.8857547786
42	0.8851304155
43	0.8845110569
44	0.8839561493
45	0.8835369596
46	0.8830661713
47	0.8826421543
48	0.882380463
49	0.881947754
50	0.881600839
51	0.8812158852
52	0.8808680752
53	0.8805599529
54	0.8800580511
55	0.8796131058
56	0.8793180697
57	0.8790142401
58	0.8785006629
59	0.8781483066
60	0.8777252309
61	0.8773966197
62	0.8771496416
63	0.8769490223
64	0.8766499099
65	0.8763932971
66	0.8760821817
67	0.8758042256
68	0.8755217468
69	0.8752807446
70	0.8749942902
71	0.8747606692
72	0.8745514002
73	0.8743047372
74	0.874018729
75	0.8737807975
76	0.8735947708
77	0.8733928525
78	0.8732202695
79	0.8730172908
80	0.8727989895
81	0.8725749568
82	0.8723508334
83	0.8721591779
84	0.8719986745
85	0.8718121854
86	0.8717000072
87	0.8715019178
88	0.8712633669
89	0.8709659364
90	0.8707214412
91	0.8705085532
92	0.8703297652
93	0.87012684
94	0.8699930047
95	0.8697980751
96	0.8696301366
97	0.8694329312
98	0.8692886069
99	0.8691529111
100	0.8690139702
101	0.8688736322
102	0.8687262108
103	0.8685753758
104	0.8684461745
105	0.8683187079
106	0.8681533226
107	0.8680054137
108	0.8679015142
109	0.8677824226
110	0.8676654439
111	0.8675618542
112	0.8673237175
113	0.8671675525
114	0.8670341883
115	0.8668358548
116	0.8667265368
117	0.8665340184
118	0.8663479102
119	0.8662163463
120	0.8660907016
121	0.8659077875
122	0.8657556989
123	0.8655693406
124	0.8654278591
125	0.8653056269
126	0.865173718
127	0.8650039698
128	0.8648566603
129	0.864668828
130	0.8645056408
131	0.8643810356
132	0.8642281147
133	0.8641049542
134	0.8639025539
135	0.8637143025
136	0.8635044856
137	0.8633936426
138	0.8632137941
139	0.8631033735
140	0.8628986584
141	0.8627860782
142	0.8626395418
143	0.862497303
144	0.8623569908
