iter	Passed	Remaining
0	105	105384
1	205	102407
2	304	101086
3	405	101041
4	507	101067
5	605	100321
6	703	99734
7	796	98726
8	890	98107
9	981	97188
10	1076	96815
11	1173	96578
12	1264	96041
13	1355	95478
14	1453	95442
15	1543	94946
16	1634	94511
17	1724	94100
18	1818	93891
19	1903	93264
20	1992	92872
21	2081	92540
22	2182	92690
23	2282	92822
24	2370	92465
25	2460	92179
26	2560	92288
27	2653	92113
28	2746	91952
29	2840	91847
30	2926	91479
31	3011	91111
32	3096	90736
33	3185	90502
34	3274	90296
35	3365	90111
36	3463	90146
37	3548	89835
38	3642	89745
39	3725	89421
40	3817	89299
41	3906	89112
42	3999	89022
43	4088	88827
44	4173	88568
45	4253	88221
46	4342	88044
47	4441	88082
48	4529	87900
49	4616	87711
50	4712	87682
51	4808	87660
52	4891	87405
53	4979	87233
54	5077	87238
55	5164	87051
56	5260	87026
57	5335	86652
58	5429	86599
59	5515	86416
60	5609	86353
61	5703	86281
62	5790	86121
63	5885	86068
64	5975	85957
65	6064	85824
66	6157	85750
67	6250	85672
68	6354	85744
69	6443	85605
70	6533	85493
71	6615	85261
72	6697	85046
73	6782	84877
74	6879	84852
75	6977	84837
76	7073	84786
77	7156	84598
78	7236	84365
79	7339	84405
80	7425	84251
81	7518	84174
82	7602	83994
83	7684	83795
84	7780	83750
85	7877	83719
86	7959	83524
87	8043	83355
88	8124	83163
89	8211	83024
90	8299	82905
91	8384	82751
92	8475	82657
93	8578	82685
94	8661	82511
95	8760	82491
96	8853	82419
97	8934	82232
98	9013	82030
99	9101	81909
100	9185	81764
101	9262	81546
102	9347	81401
103	9436	81299
104	9523	81175
105	9626	81192
106	9727	81180
107	9839	81268
108	9916	81061
109	9996	80882
110	10070	80653
111	10153	80504
112	10236	80351
113	10334	80318
114	10432	80286
115	10536	80297
116	10629	80218
117	10725	80168
118	10813	80059
119	10914	80039
120	11011	79994
121	11094	79840
122	11178	79704
123	11266	79594
124	11357	79505
125	11439	79352
126	11522	79207
127	11607	79075
128	11698	78986
129	11797	78954
130	11890	78874
131	11998	78899
132	12104	78907
133	12184	78743
134	12285	78716
135	12374	78612
136	12466	78530
137	12540	78333
138	12625	78204
139	12715	78107
140	12814	78069
141	12889	77880
142	12998	77899
143	13111	77941
144	13200	77835
145	13292	77749
146	13386	77676
147	13472	77557
148	13567	77490
149	13642	77308
150	13735	77227
151	13834	77183
152	13922	77076
153	14033	77093
154	14106	76901
155	14193	76790
156	14274	76645
157	14368	76573
158	14445	76404
159	14520	76230
160	14600	76084
161	14685	75967
162	14784	75917
163	14884	75875
164	14980	75810
165	15064	75684
166	15135	75497
167	15227	75411
168	15338	75421
169	15428	75326
170	15520	75240
171	15600	75099
172	15703	75069
173	15788	74949
174	15875	74840
175	15970	74770
176	16075	74746
177	16160	74627
178	16253	74548
179	16344	74457
180	16434	74362
181	16552	74394
182	16661	74385
183	16763	74343
184	16838	74182
