,Date,Stock_Close,Stock_Sum,Stock_Ratio,Stock_Start,Stock_High,Stock_Low,Stock_Vol,Stock_Money,Stock_Market,label
0,2003-01-02,6430.0,150.0,2.39,6380.0,6460.0,6300.0,511660.0,164000000000.0,49100000000000.0,1.0
1,2003-01-03,6880.0,450.0,7.0,6700.0,7000.0,6640.0,1110675.0,380000000000.0,52500000000000.0,1.0
2,2003-01-06,6990.0,110.0,1.6,6940.0,7030.0,6880.0,499437.0,174000000000.0,53400000000000.0,0.0
3,2003-01-07,6850.0,-140.0,-2.0,7180.0,7180.0,6840.0,577944.0,202000000000.0,52300000000000.0,0.0
4,2003-01-08,6800.0,-50.0,-0.73,6920.0,6930.0,6770.0,504232.0,173000000000.0,51900000000000.0,0.0
5,2003-01-09,6460.0,-340.0,-5.0,6620.0,6660.0,6420.0,1505829.0,490000000000.0,49300000000000.0,1.0
6,2003-01-10,6480.0,20.0,0.31,6600.0,6650.0,6340.0,1252880.0,407000000000.0,49500000000000.0,1.0
7,2003-01-13,6690.0,210.0,3.24,6400.0,6690.0,6370.0,628932.0,206000000000.0,51100000000000.0,0.0
8,2003-01-14,6570.0,-120.0,-1.79,6600.0,6650.0,6500.0,526476.0,173000000000.0,50200000000000.0,0.0
9,2003-01-15,6480.0,-90.0,-1.37,6600.0,6670.0,6440.0,654733.0,213000000000.0,49500000000000.0,1.0
10,2003-01-16,6600.0,120.0,1.85,6400.0,6600.0,6320.0,807630.0,262000000000.0,50400000000000.0,0.0
11,2003-01-17,6410.0,-190.0,-2.88,6550.0,6570.0,6410.0,488166.0,158000000000.0,49000000000000.0,0.0
12,2003-01-21,6380.0,-20.0,-0.31,6360.0,6400.0,6290.0,533585.0,169000000000.0,48800000000000.0,0.0
13,2003-01-22,6230.0,-150.0,-2.35,6290.0,6370.0,6180.0,653428.0,204000000000.0,47600000000000.0,1.0
14,2003-01-23,6320.0,90.0,1.44,6230.0,6370.0,6150.0,734049.0,230000000000.0,48300000000000.0,0.0
15,2003-01-24,6260.0,-60.0,-0.95,6320.0,6340.0,6130.0,668930.0,209000000000.0,48100000000000.0,0.0
16,2003-01-27,5980.0,-280.0,-4.47,6020.0,6100.0,5970.0,929328.0,279000000000.0,46000000000000.0,1.0
17,2003-01-28,6140.0,160.0,2.68,5980.0,6140.0,5980.0,528687.0,160000000000.0,47200000000000.0,0.0
18,2003-01-29,5830.0,-310.0,-5.05,6070.0,6130.0,5800.0,930489.0,276000000000.0,44800000000000.0,0.0
19,2003-01-30,5830.0,0.0,0.0,5860.0,5910.0,5790.0,701387.0,205000000000.0,44800000000000.0,1.0
20,2003-02-03,5860.0,30.0,0.51,5780.0,5890.0,5720.0,573437.0,167000000000.0,45000000000000.0,1.0
21,2003-02-04,5880.0,20.0,0.34,5860.0,5960.0,5840.0,817051.0,241000000000.0,45200000000000.0,0.0
22,2003-02-05,5820.0,-60.0,-1.02,5780.0,5910.0,5780.0,428657.0,125000000000.0,44700000000000.0,0.0
23,2003-02-06,5660.0,-160.0,-2.75,5810.0,5840.0,5630.0,769287.0,220000000000.0,43500000000000.0,0.0
24,2003-02-07,5480.0,-180.0,-3.18,5600.0,5640.0,5400.0,973941.0,266000000000.0,42100000000000.0,0.0
25,2003-02-10,5390.0,-90.0,-1.64,5420.0,5460.0,5350.0,787848.0,213000000000.0,41400000000000.0,1.0
26,2003-02-11,5430.0,40.0,0.74,5400.0,5510.0,5190.0,1041094.0,280000000000.0,41700000000000.0,1.0
27,2003-02-12,5600.0,170.0,3.13,5320.0,5600.0,5320.0,762056.0,208000000000.0,43100000000000.0,0.0
28,2003-02-13,5430.0,-170.0,-3.04,5580.0,5610.0,5430.0,795304.0,219000000000.0,41700000000000.0,1.0
29,2003-02-14,5460.0,30.0,0.55,5400.0,5460.0,5320.0,634666.0,172000000000.0,42000000000000.0,1.0
30,2003-02-18,5860.0,50.0,0.86,5820.0,5870.0,5720.0,506335.0,147000000000.0,45000000000000.0,1.0
31,2003-02-19,5940.0,80.0,1.37,6000.0,6160.0,5940.0,990908.0,299000000000.0,45700000000000.0,1.0
32,2003-02-20,6050.0,110.0,1.85,5880.0,6060.0,5880.0,668674.0,200000000000.0,46500000000000.0,0.0
