,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
0,2024-06-27,81600,300,0.37,81300,81600,80500,11739720,953180000000.0,487130000000000.0,5969782550
1,2024-06-26,81300,500,0.62,80100,81400,79900,17783242,1436000000000.0,485340000000000.0,5969782550
2,2024-06-25,80800,200,0.25,80600,81800,80100,19088458,1545800000000.0,482360000000000.0,5969782550
3,2024-06-24,80600,600,0.75,79700,80900,79500,15454227,1239800000000.0,481160000000000.0,5969782550
4,2024-06-21,80000,-1600,-1.96,80700,80800,80000,17907523,1437400000000.0,477580000000000.0,5969782550
5,2024-06-20,81600,400,0.49,81500,82200,81200,20288913,1658000000000.0,487130000000000.0,5969782550
6,2024-06-19,81200,1400,1.75,81100,82500,80500,24168863,1965900000000.0,484750000000000.0,5969782550
7,2024-06-18,79800,1700,2.18,78700,80200,78600,18207598,1451900000000.0,476390000000000.0,5969782550
8,2024-06-17,78100,-1500,-1.88,79200,79500,78000,16123051,1267600000000.0,466240000000000.0,5969782550
9,2024-06-14,79600,1000,1.27,79700,80500,79000,22926612,1830000000000.0,475000000000000.0,5969782550
10,2024-06-13,78600,2100,2.75,78400,79000,77800,33763804,2650000000000.0,469000000000000.0,5969782550
11,2024-06-12,76500,1300,1.73,75300,77100,75200,19246725,1460000000000.0,457000000000000.0,5969782550
12,2024-06-11,75200,-500,-0.66,75900,76000,75100,16971175,1280000000000.0,449000000000000.0,5969782550
13,2024-06-10,75700,-1600,-2.07,76100,76600,75600,14598755,1110000000000.0,452000000000000.0,5969782550
14,2024-06-07,77300,-100,-0.13,78400,78600,77100,21189349,1650000000000.0,461000000000000.0,5969782550
15,2024-06-05,77400,2100,2.79,78000,78000,76800,23177968,1790000000000.0,462000000000000.0,5969782550
16,2024-06-04,75300,-400,-0.53,74900,76100,74900,14098053,1070000000000.0,450000000000000.0,5969782550
17,2024-06-03,75700,2200,2.99,74400,76400,74200,15706268,1190000000000.0,452000000000000.0,5969782550
18,2024-05-31,73500,0,0.0,74500,74700,73500,26198776,1940000000000.0,439000000000000.0,5969782550
